"4156","WNL09","5428","WENDT LABS","DIN OWNER","Y","N","N","N","","800 MAIN STREET","WINNIPEG","MANITOBA","CANADA","R2W 3R4","3506"
"84223","VTO07","5380","V-TO INC.","DIN OWNER","Y","Y","Y","N","","2975 NELSON","ST-HYACINTHE","QUEBEC","CANADA","J2S 1Y5",""
"78813","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"76707","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"80567","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"77123","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"80435","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"77476","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"76605","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"78646","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"79098","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"85985","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"88679","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"88680","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"84962","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"87571","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"86906","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"87912","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"87913","VYC07","5381","VICHY CANADA","DIN OWNER","Y","N","N","N","","4895 HICKMORE","MONTREAL","QUEBEC","CANADA","H4T 1K5",""
"79968","","13495","SAELY INC","DIN OWNER","Y","Y","N","","","14 BELVEDERE","VICTORIAVILLE","QUEBEC","CANADA","G6P 6A4",""
"84220","","13495","SAELY INC","DIN OWNER","Y","Y","N","","","14 BELVEDERE","VICTORIAVILLE","QUEBEC","CANADA","G6P 6A4",""
"11004","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7145","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"15598","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"63636","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"44067","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"12930","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"35667","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"64080","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7142","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7140","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"11872","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"6011","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"53273","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"60798","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"781","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"1387","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
